step,version_0
0,1.3333333015452808e-07
1000,3.346666562720202e-05
2000,6.679999933112413e-05
3000,9.999999747378752e-05
4000,9.931634122040123e-05
5000,9.72840643953532e-05
6000,9.395874803885818e-05
7000,8.943131979322061e-05
8000,8.382559462916106e-05
9000,7.729486242169514e-05
10000,7.00177188264206e-05
10987,6.228948041098192e-05
11000,6.219316856004298e-05
12000,5.403517570812255e-05
13000,4.576683568302542e-05
14000,3.761425978154875e-05
15000,2.980038698296994e-05
16000,2.2538897610502318e-05
17000,1.602836709935218e-05
18000,1.0446834494359791e-05
19000,5.946933470113436e-06
20000,2.6517200240050443e-06
21000,6.513057542179013e-07
21974,0.0
